company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for,salary_range
TCS,3.7,82.7k,37,9.8k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Accenture,3.9,51.5k,32.7k,7.5k,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Cognizant,3.8,46.4k,1.3k,5.3k,,"Promotions / Appraisal, Salary & Benefits",Average
Wipro,3.7,46.3k,595,5.1k,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Capgemini,3.8,38.2k,1.2k,4.5k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Average
HDFC Bank,3.9,37k,169,2k,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
ICICI Bank,4.0,36.3k,1,2.3k,"Job Security, Skill Development / Learning, Company Culture",,Average
Infosys,3.7,35.7k,1.1k,7.2k,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Average
HCLTech,3.6,33k,179,3.6k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Tech Mahindra,3.6,30.3k,446,3.4k,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Genpact,3.9,28.8k,1.5k,2.8k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Average
Teleperformance,3.9,26.5k,321,1.7k,"Skill Development / Learning, Company Culture, Job Security",,Average
Concentrix Corporation,3.8,24.7k,47,1.5k,Job Security,"Promotions / Appraisal, Salary & Benefits",Average
Axis Bank,3.8,23.9k,102,1.4k,,Promotions / Appraisal,Average
Amazon,4.1,23.8k,101,4.8k,"Company Culture, Salary & Benefits, Work Life Balance",,High
Jio,3.9,21.5k,772,1.5k,"Job Security, Skill Development / Learning",Promotions / Appraisal,Average
Reliance Retail,3.9,21k,23,1.4k,"Skill Development / Learning, Job Security",Promotions / Appraisal,Average
IBM,4.1,20.9k,2.2k,2.3k,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,High
iEnergizer,4.7,19.5k,72,442,"Company Culture, Job Security, Skill Development / Learning",,High
HDB Financial Services,4.0,19.2k,86,755,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,Average
Larsen & Toubro Limited,4.0,17.5k,162,1.3k,"Job Security, Skill Development / Learning, Salary & Benefits",,Average
Deloitte,3.8,16.5k,60,2.7k,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance,Average
BYJU'S,3.1,15.9k,--,2.1k,,"Job Security, Work Life Balance, Company Culture",Average
Kotak Mahindra Bank,3.8,15.4k,120,1k,Job Security,Promotions / Appraisal,Average
LTIMindtree,3.5,15k,99,2.2k,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Reliance Industries,4.0,14.8k,31,1.2k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Average
Vodafone Idea,4.1,14.8k,18,530,"Company Culture, Work Life Balance, Salary & Benefits",,High
Bharti Airtel,4.0,12.9k,178,788,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal,Average
Tata Motors,4.2,11.2k,16,950,"Job Security, Skill Development / Learning, Company Culture",,High
WNS,3.4,10.4k,98,926,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
Flipkart,4.0,10.2k,154,1.3k,"Skill Development / Learning, Company Culture, Job Security",,Average
IndusInd Bank,3.6,10.1k,93,555,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Average
Ernst & Young,3.5,9.8k,2k,1.1k,,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Average
IDFC FIRST Bank,4.0,9.4k,44,591,"Salary & Benefits, Skill Development / Learning, Job Security",,Average
DXC Technology,3.7,9.4k,161,777,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Average
Mahindra & Mahindra,4.1,9.4k,56,650,"Job Security, Skill Development / Learning, Company Culture",,High
AU Small Finance Bank,4.3,9.4k,14,391,"Skill Development / Learning, Job Security, Company Culture",,High
Infosys BPM,3.8,9k,79,896,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",Average
Bajaj Finserv,4.0,8.5k,33,478,"Salary & Benefits, Skill Development / Learning, Job Security",,Average
HDFC Life,4.0,8.4k,81,566,"Skill Development / Learning, Job Security, Company Culture",,Average
Conneqt Business Solutions,3.7,8.3k,46,428,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
PwC,3.5,8.3k,2.1k,1.3k,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",Average
Mphasis,3.4,7.7k,112,756,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Average
